NAME,TEAM,BYE,AGE,POS,POS_RANK,ADP
Greg Olsen,CAR,7,39,TE,TE15,148.9
Trey Burton,CHI,13,32,TE,TE16,152.4
Kyle Rudolph,MIN,13,34,TE,TE17,154.9
Darren Waller,LV,13,31,TE,TE18,155.8
Jimmy Graham,GB,6,37,TE,TE19,156.6
Jack Doyle,IND,11,34,TE,TE20,156.8
Chris Herndon,NYJ,7,28,TE,TE21,157.3
Dallas Goedert,PHI,10,29,TE,TE23,158
Jordan Reed,WAS,14,34,TE,TE22,158
Noah Fant,DEN,9,26,TE,TE24,158.1
Jason Witten,DAL,7,42,TE,TE25,276
Tyler Eifert,CIN,7,33,TE,TE26,280
Cameron Brate,TB,5,33,TE,TE27,301
Will Dissly,SEA,5,28,TE,TE28,309
Jonnu Smith,TEN,7,28,TE,TE29,312
Vernon Davis,WAS,14,40,TE,TE30,324
C.J. Uzomah,CIN,7,31,TE,TE31,328
Benjamin Watson,NE,11,43,TE,TE32,332
Lee Smith,BUF,13,36,TE,TE33,334
Jesse James,DET,9,30,TE,TE34,335
Matt LaCosse,NE,11,31,TE,TE35,337
Mike Gesicki,MIA,10,28,TE,TE36,338
Ian Thomas,CAR,7,28,TE,TE37,339
Blake Jarwin,DAL,7,29,TE,TE38,341
Gerald Everett,LAR,10,30,TE,TE39,343
Ricky Seals-Jones,CLE,5,29,TE,TE40,346
Geoff Swaim,JAX,9,30,TE,TE41,352
Nick Vannett,SEA,5,31,TE,TE42,354
Tyler Higbee,LAR,10,31,TE,TE43,360
Hayden Hurst,BAL,13,30,TE,TE44,362
Tyler Kroft,BUF,13,31,TE,TE45,365
Charles Clay,ARI,14,35,TE,TE46,367
Dawson Knox,BUF,13,27,TE,TE47,368
Irv Smith,MIN,13,25,TE,TE48,379
Adam Shaheen,CHI,13,29,TE,TE49,380
Josh Oliver,JAX,9,27,TE,TE50,383
