NAME,TEAM,POS,GP,PASS_YDS,PASS_TDS,INT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FPTSPG,TOTFPTS
Julio Jones,ATL,WR,15,0,0,0,-3,0,99,1394,6,18.3,274.1
Cooper Kupp,LAR,WR,16,0,0,0,4,0,94,1161,10,16.9,270.5
DeAndre Hopkins,HOU,WR,15,6,1,1,18,0,104,1165,7,17.9,268.5
Keenan Allen,LAC,WR,16,0,0,0,16,0,104,1199,6,16.3,261.5
Julian Edelman,NE,WR,16,47,1,0,27,0,100,1117,6,16,256.3
Allen Robinson II,CHI,WR,16,0,0,0,2,0,98,1147,7,15.9,254.9
Kenny Golladay,DET,WR,16,0,0,0,0,0,65,1190,11,15.5,248
Amari Cooper,DAL,WR,16,0,0,0,6,0,79,1189,8,15.4,246.5
DeVante Parker,MIA,WR,16,0,0,0,0,0,72,1202,9,15.4,246.2
Jarvis Landry,CLE,WR,16,0,0,0,10,0,83,1174,6,14.8,237.4
Tyler Lockett,SEA,WR,16,0,0,0,-5,0,82,1057,8,14.7,235.2
Robert Woods,LAR,WR,15,0,0,0,115,1,90,1134,2,15.5,232.9
Mike Evans,TB,WR,13,0,0,0,0,0,67,1157,8,17.9,232.7
DJ Moore,CAR,WR,15,0,0,0,40,0,87,1175,4,15.4,230.5
DJ Chark,JAX,WR,15,0,0,0,20,0,73,1008,8,15.1,225.8
Tyler Boyd,CIN,WR,16,0,0,0,23,0,90,1046,5,13.9,222.9
Courtland Sutton,DEN,WR,16,38,0,0,17,0,72,1112,6,13.9,222.4
John Brown,BUF,WR,15,28,1,0,7,0,72,1060,6,14.7,219.8
A.J. Brown,TEN,WR,16,0,0,0,60,1,52,1051,8,13.6,217.1
Michael Gallup,DAL,WR,14,0,0,0,0,0,66,1107,6,15.2,212.7
Davante Adams,GB,WR,12,0,0,0,0,0,83,997,5,17.7,212.7
Stefon Diggs,MIN,WR,15,0,0,0,61,0,63,1130,6,14.1,212.1
Odell Beckham Jr.,CLE,WR,16,20,0,0,10,0,74,1035,4,12.6,201.3
Jamison Crowder,NYJ,WR,16,0,0,0,4,0,78,833,6,12.4,197.7
Calvin Ridley,ATL,WR,13,0,0,0,34,0,63,866,7,15.2,197
Marvin Jones Jr.,DET,WR,13,0,0,0,0,0,62,779,9,14.9,193.9
Terry McLaurin,WAS,WR,14,0,0,0,0,0,58,919,7,13.7,191.9
Emmanuel Sanders,SF,WR,17,35,1,0,0,0,66,869,5,11.2,190.3
Deebo Samuel Sr.,SF,WR,15,0,0,0,159,3,57,802,3,12.6,189.1
Tyreek Hill,KC,WR,12,0,0,0,23,0,58,860,7,15.7,188.3
DK Metcalf,SEA,WR,16,0,0,0,11,0,58,900,7,11.7,187.1
Cole Beasley,BUF,WR,15,0,0,0,0,0,67,778,6,12.3,184.8
Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,75,804,4,11.1,177.4
Curtis Samuel,CAR,WR,16,0,0,0,130,1,54,627,6,10.7,171.7
Darius Slayton,NYG,WR,14,0,0,0,0,0,48,740,8,12.1,170
Christian Kirk,ARI,WR,13,0,0,0,93,0,68,709,3,12.9,168.2
Robbie Chosen,NYJ,WR,16,0,0,0,4,0,52,779,5,10.1,162.3
Mike Williams,LAC,WR,15,0,0,0,2,0,49,1001,2,10.8,161.3
Diontae Johnson,PIT,WR,16,0,0,0,41,0,59,680,5,9.8,157.1
Dede Westbrook,JAX,WR,15,0,0,0,27,0,66,660,3,10.4,156.7
Chris Conley,JAX,WR,16,0,0,0,0,0,47,775,5,9.8,156.5
Randall Cobb,DAL,WR,15,0,0,0,11,0,55,828,3,10.3,154.9
Golden Tate,NYG,WR,11,0,0,0,16,0,49,676,6,13.8,152.2
Marquise Brown,BAL,WR,14,0,0,0,0,0,46,584,7,10.5,146.4
Tyrell Williams,LV,WR,14,0,0,0,0,0,42,651,6,10.2,143.1
Sterling Shepard,NYG,WR,10,0,0,0,72,0,57,576,3,14.2,141.8
Danny Amendola,DET,WR,15,19,1,0,0,0,62,678,1,9.4,140.6
Sammy Watkins,KC,WR,14,0,0,0,12,0,52,673,3,9.9,138.5
Breshad Perriman,TB,WR,14,0,0,0,16,0,36,645,6,9.9,138.1
Zach Pascal,IND,WR,16,0,0,0,16,0,41,607,5,8.5,135.3
William Fuller V,HOU,WR,11,0,0,0,0,0,49,670,3,12.2,134
